,ds,wind,precipitation,temp,pressure
0,2018-01-01,1.6,4.42,4.28,90.36
1,2018-01-02,4.56,4.45,2.18,90.12
2,2018-01-03,1.93,0.08,2.55,90.54
3,2018-01-04,0.92,0.0,1.97,90.48
4,2018-01-05,1.6,0.12,2.06,90.19
5,2018-01-06,4.14,0.63,3.8,90.77
6,2018-01-07,1.58,0.26,3.36,91.78
7,2018-01-08,2.97,0.01,3.32,91.83
8,2018-01-09,5.38,0.88,3.02,91.25
9,2018-01-10,6.07,0.46,-0.64,91.39
10,2018-01-11,1.81,0.81,-1.18,91.23
11,2018-01-12,1.98,0.17,1.72,90.73
12,2018-01-13,1.92,1.46,1.39,91.08
13,2018-01-14,3.13,3.06,-2.43,91.27
14,2018-01-15,1.01,0.31,-2.31,91.47
15,2018-01-16,1.35,0.11,-2.94,91.42
16,2018-01-17,1.25,0.16,-2.72,90.71
17,2018-01-18,1.89,1.77,-0.85,90.03
18,2018-01-19,1.74,0.47,2.07,90.02
19,2018-01-20,3.33,0.08,2.53,90.82
20,2018-01-21,1.84,0.0,2.05,90.96
21,2018-01-22,1.53,0.0,2.4,90.42
22,2018-01-23,1.18,0.01,3.28,90.14
23,2018-01-24,4.02,0.39,2.06,90.68
24,2018-01-25,2.47,2.96,-0.57,91.29
25,2018-01-26,2.28,1.47,-1.47,91.39
26,2018-01-27,1.76,1.11,-1.67,91.71
27,2018-01-28,1.89,0.11,-3.16,92.11
28,2018-01-29,0.85,0.03,-4.1,91.56
29,2018-01-30,3.89,0.11,-0.51,90.97
30,2018-01-31,4.44,1.7,0.51,90.74
31,2018-02-01,5.96,0.58,-0.87,91.16
32,2018-02-02,1.33,0.0,0.85,91.51
33,2018-02-03,1.64,0.0,3.23,91.31
34,2018-02-04,0.59,0.01,3.92,91.13
35,2018-02-05,4.03,0.42,5.86,90.72
36,2018-02-06,2.25,0.32,4.33,91.33
37,2018-02-07,0.98,0.08,4.94,91.82
38,2018-02-08,2.26,0.0,2.51,91.74
39,2018-02-09,1.67,0.68,1.77,90.94
40,2018-02-10,1.59,0.4,2.92,90.79
41,2018-02-11,2.59,0.12,1.9,90.62
42,2018-02-12,3.31,1.15,4.05,89.99
43,2018-02-13,1.73,1.75,3.57,90.32
44,2018-02-14,2.54,1.17,2.86,90.97
45,2018-02-15,1.3,0.04,2.74,91.58
46,2018-02-16,2.29,0.01,1.34,91.83
47,2018-02-17,1.62,0.0,2.8,91.22
48,2018-02-18,1.33,2.3,2.83,90.59
49,2018-02-19,2.78,1.75,2.85,90.63
50,2018-02-20,1.06,0.14,2.87,90.84
51,2018-02-21,1.73,0.23,1.89,90.91
52,2018-02-22,0.91,0.06,3.98,90.67
53,2018-02-23,1.28,0.01,3.93,90.55
54,2018-02-24,2.08,0.0,5.13,90.23
55,2018-02-25,1.02,0.01,5.66,90.01
56,2018-02-26,3.25,0.93,3.95,90.12
57,2018-02-27,2.66,0.11,1.91,90.55
58,2018-02-28,2.07,0.01,5.83,90.65
59,2018-03-01,2.78,1.42,4.14,90.51
60,2018-03-02,4.39,0.57,2.34,90.73
61,2018-03-03,1.04,0.03,4.67,90.57
62,2018-03-04,2.0,1.12,7.53,90.01
63,2018-03-05,5.21,1.72,5.69,90.05
64,2018-03-06,3.11,0.24,4.15,90.78
65,2018-03-07,1.68,0.34,6.84,90.6
66,2018-03-08,2.21,1.71,9.2,90.01
67,2018-03-09,5.69,6.44,7.05,89.5
68,2018-03-10,6.66,0.69,4.59,90.44
69,2018-03-11,4.12,0.2,4.08,90.58
70,2018-03-12,2.14,2.37,4.05,90.81
71,2018-03-13,2.92,0.26,2.47,91.06
72,2018-03-14,2.55,0.15,4.02,90.79
73,2018-03-15,1.58,0.37,6.91,90.4
74,2018-03-16,2.44,0.33,7.28,90.28
75,2018-03-17,1.59,2.05,6.42,90.63
76,2018-03-18,2.22,0.0,10.71,90.62
77,2018-03-19,1.66,0.0,12.31,90.5
78,2018-03-20,2.17,0.03,14.81,90.39
79,2018-03-21,5.8,0.56,8.95,90.64
80,2018-03-22,2.93,0.02,9.02,90.72
81,2018-03-23,2.33,0.59,10.57,90.39
82,2018-03-24,2.45,1.16,11.56,89.81
83,2018-03-25,4.41,0.77,8.9,90.58
84,2018-03-26,1.13,0.45,8.9,91.32
85,2018-03-27,2.16,0.07,10.41,90.83
86,2018-03-28,2.98,0.01,12.24,90.71
87,2018-03-29,1.99,2.61,12.79,90.14
88,2018-03-30,5.35,5.13,9.22,90.16
89,2018-03-31,3.7,0.58,6.79,91.3
90,2018-04-01,2.54,0.01,6.88,91.41
91,2018-04-02,1.72,0.25,9.68,90.61
92,2018-04-03,5.39,2.66,7.64,90.82
93,2018-04-04,5.4,0.89,6.46,91.13
94,2018-04-05,1.65,0.01,6.99,91.19
95,2018-04-06,2.23,0.0,8.37,91.09
96,2018-04-07,2.5,0.0,9.1,91.32
97,2018-04-08,1.92,0.0,11.85,91.28
98,2018-04-09,3.12,0.0,10.64,91.65
99,2018-04-10,2.96,0.0,9.07,91.51
